repo,url,stars,language,description
DopplerHQ/awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,84583,,:octocat: A curated awesome list of lists of interview questions. Feel free to contribute! :mortar_board: 
JsonChao/Awesome-Android-Interview,https://github.com/JsonChao/Awesome-Android-Interview,4612,,:fire: A awesome  android expert interview questions and answers（continuous updating ...）
0voice/Campus_recruitment_interview_questions,https://github.com/0voice/Campus_recruitment_interview_questions,4036,,2025 最新校招面试题合集， 面向 2026 届应届生，全网最全整理！收录 1000+道真实面试题以及面经，涵盖阿里、腾讯、字节、美团、百度、华为、小米、英伟达、微软、米哈游等百家大中小厂。每题配备视频解析 or 文字讲解，持续更新中，助
rohan-paul/Awesome-JavaScript-Interviews,https://github.com/rohan-paul/Awesome-JavaScript-Interviews,3742,JavaScript,"Popular JavaScript / React / Node / Mongo stack Interview questions and their answers. Many of them, I faced in actual i"
cirosantilli/china-dictatorship,https://github.com/cirosantilli/china-dictatorship,3213,HTML,反中共政治宣传库。Anti Chinese government propaganda. 住在中国真名用户的网友请别给星星，不然你要被警察请喝茶。常见问答集，新闻集和饭店和音乐建议。卐习万岁卐。冠状病毒审查郝海东新疆改造中心六四事件法轮功 
